,0,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
37,Nearly Forgot My Broken Heart,Chris Cornell,0.104,https://api.spotify.com/v1/audio-analysis/7MjRtWS2teufvOiMM0BARZ,0.595,234427.0,0.792,7MjRtWS2teufvOiMM0BARZ,3.29e-06,9.0,0.171,-5.426,0.0,0.0297,119.531,4.0,https://api.spotify.com/v1/tracks/7MjRtWS2teufvOiMM0BARZ,audio_features,spotify:track:7MjRtWS2teufvOiMM0BARZ,0.611
38,Burden In My Hand,Soundgarden,0.00534,https://api.spotify.com/v1/audio-analysis/1iArQTuOzxvrtniGmkyy92,0.319,290107.0,0.803,1iArQTuOzxvrtniGmkyy92,0.0126,10.0,0.177,-8.928,1.0,0.0394,183.031,4.0,https://api.spotify.com/v1/tracks/1iArQTuOzxvrtniGmkyy92,audio_features,spotify:track:1iArQTuOzxvrtniGmkyy92,0.589
39,Blow Up The Outside World,Soundgarden,0.000807,https://api.spotify.com/v1/audio-analysis/5TLA7O0ogTqwZHbS3ERabw,0.33,345667.0,0.529,5TLA7O0ogTqwZHbS3ERabw,0.214,9.0,0.126,-10.043,1.0,0.0358,140.156,4.0,https://api.spotify.com/v1/tracks/5TLA7O0ogTqwZHbS3ERabw,audio_features,spotify:track:5TLA7O0ogTqwZHbS3ERabw,0.148
40,Black Hole Sun,Soundgarden,0.000203,https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD,0.354,318587.0,0.825,2EoOZnxNgtmZaD8uUmz2nD,6.95e-05,6.0,0.0758,-5.325,1.0,0.0406,105.495,4.0,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,audio_features,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,0.16
41,The Day I Tried To Live,Soundgarden,0.000171,https://api.spotify.com/v1/audio-analysis/78YJJJH55MSyk7547100sW,0.47,320107.0,0.76,78YJJJH55MSyk7547100sW,0.191,0.0,0.127,-6.063,1.0,0.0597,133.308,4.0,https://api.spotify.com/v1/tracks/78YJJJH55MSyk7547100sW,audio_features,spotify:track:78YJJJH55MSyk7547100sW,0.301
42,Fell On Black Days,Soundgarden,0.00165,https://api.spotify.com/v1/audio-analysis/1wlKw9NAWVWpx7OIAyg9EA,0.573,283027.0,0.75,1wlKw9NAWVWpx7OIAyg9EA,0.000285,4.0,0.131,-5.718,0.0,0.0272,101.049,3.0,https://api.spotify.com/v1/tracks/1wlKw9NAWVWpx7OIAyg9EA,audio_features,spotify:track:1wlKw9NAWVWpx7OIAyg9EA,0.544
43,Heart-Shaped Box,Nirvana,0.184,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa,0.494,281160.0,0.677,11LmqTE2naFULdEP94AUBa,0.0258,6.0,0.0926,-10.233,1.0,0.0452,101.539,4.0,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,audio_features,spotify:track:11LmqTE2naFULdEP94AUBa,0.316
44,Rape Me,Nirvana,0.0217,https://api.spotify.com/v1/audio-analysis/5Rizj5FLb2AyNKu9esjYY6,0.416,170000.0,0.743,5Rizj5FLb2AyNKu9esjYY6,0.0,8.0,0.0646,-10.613,1.0,0.0476,111.879,4.0,https://api.spotify.com/v1/tracks/5Rizj5FLb2AyNKu9esjYY6,audio_features,spotify:track:5Rizj5FLb2AyNKu9esjYY6,0.259
45,Lake Of Fire,Nirvana,0.293,https://api.spotify.com/v1/audio-analysis/4UJmPSJsBsIR1U0N79BU1g,0.53,175907.0,0.634,4UJmPSJsBsIR1U0N79BU1g,3.99e-05,1.0,0.362,-9.549,0.0,0.273,145.248,4.0,https://api.spotify.com/v1/tracks/4UJmPSJsBsIR1U0N79BU1g,audio_features,spotify:track:4UJmPSJsBsIR1U0N79BU1g,0.637
46,Dumb,Nirvana,0.425,https://api.spotify.com/v1/audio-analysis/5gRcv46AMTrosmTOqrOV3Q,0.695,151893.0,0.394,5gRcv46AMTrosmTOqrOV3Q,0.738,6.0,0.228,-13.585,1.0,0.029,113.623,4.0,https://api.spotify.com/v1/tracks/5gRcv46AMTrosmTOqrOV3Q,audio_features,spotify:track:5gRcv46AMTrosmTOqrOV3Q,0.845
47,All Apologies,Nirvana,0.0824,https://api.spotify.com/v1/audio-analysis/1Ic9pKxGSJGM0LKeqf6lGe,0.447,233173.0,0.621,1Ic9pKxGSJGM0LKeqf6lGe,0.000239,1.0,0.0885,-12.109,1.0,0.034,113.169,4.0,https://api.spotify.com/v1/tracks/1Ic9pKxGSJGM0LKeqf6lGe,audio_features,spotify:track:1Ic9pKxGSJGM0LKeqf6lGe,0.364
